barcode01/rotated/barcode01_rotated.fasta.sum:contig_1_polish                                              IS21             1    0.02            1223         4941800
barcode01/rotated/barcode01_rotated.fasta.sum:contig_1_polish                                              IS3             22    0.51           25038         4941800
barcode01/rotated/barcode01_rotated.fasta.sum:contig_1_polish                                              IS4              1    0.04            1757         4941800
barcode01/rotated/barcode01_rotated.fasta.sum:contig_1_polish                                              IS5             25    0.49           24159         4941800
barcode01/rotated/barcode01_rotated.fasta.sum:barcode01_rotated.fasta                                      total           49    1.06           52177         4941800
barcode02/rotated/barcode02_rotated.fasta.sum:contig_1_polish                                              IS110            1    0.01             277         4905934
barcode02/rotated/barcode02_rotated.fasta.sum:contig_1_polish                                              IS21             1    0.02            1223         4905934
barcode02/rotated/barcode02_rotated.fasta.sum:contig_1_polish                                              IS3              4    0.10            4848         4905934
barcode02/rotated/barcode02_rotated.fasta.sum:contig_1_polish                                              IS4              3    0.08            4049         4905934
barcode02/rotated/barcode02_rotated.fasta.sum:contig_1_polish                                              IS481            1    0.01             264         4905934
barcode02/rotated/barcode02_rotated.fasta.sum:contig_1_polish                                              IS5             11    0.20            9946         4905934
barcode02/rotated/barcode02_rotated.fasta.sum:contig_1_polish                                              IS66             2    0.07            3383         4905934
barcode02/rotated/barcode02_rotated.fasta.sum:barcode02_rotated.fasta                                      total           23    0.49           23990         4905934
barcode03/rotated/barcode03_rotated.fasta.sum:contig_1_polish                                              IS110            2    0.05            2526         4928221
barcode03/rotated/barcode03_rotated.fasta.sum:contig_1_polish                                              IS21             1    0.02            1223         4928221
barcode03/rotated/barcode03_rotated.fasta.sum:contig_1_polish                                              IS3              2    0.03            1464         4928221
barcode03/rotated/barcode03_rotated.fasta.sum:contig_1_polish                                              IS4              2    0.04            1843         4928221
barcode03/rotated/barcode03_rotated.fasta.sum:contig_1_polish                                              IS481            1    0.02             814         4928221
barcode03/rotated/barcode03_rotated.fasta.sum:contig_1_polish                                              IS5             18    0.35           17182         4928221
barcode03/rotated/barcode03_rotated.fasta.sum:barcode03_rotated.fasta                                      total           26    0.51           25052         4928221
barcode04/rotated/barcode04_rotated.fasta.sum:contig_1_polish                                              IS21             1    0.02            1223         5088837
barcode04/rotated/barcode04_rotated.fasta.sum:contig_1_polish                                              IS3             21    0.43           21901         5088837
barcode04/rotated/barcode04_rotated.fasta.sum:contig_1_polish                                              IS4              5    0.13            6750         5088837
barcode04/rotated/barcode04_rotated.fasta.sum:contig_1_polish                                              IS5             32    0.59           30094         5088837
barcode04/rotated/barcode04_rotated.fasta.sum:barcode04_rotated.fasta                                      total           59    1.18           59968         5088837
barcode05/rotated/barcode05_rotated.fasta.sum:contig_1_polish                                              IS21             1    0.02            1223         4950963
