flye/flye-barcode01/short_summary.specific.xanthomonadales_odb10.flye-barcode01.txt:  1095  Complete    BUSCOs  (C)
flye/flye-barcode01/short_summary.specific.xanthomonadales_odb10.flye-barcode01.txt:  28    Fragmented  BUSCOs  (F)
flye/flye-barcode01/short_summary.specific.xanthomonadales_odb10.flye-barcode01.txt:  29    Missing     BUSCOs  (M)
flye/flye-barcode02/short_summary.specific.xanthomonadales_odb10.flye-barcode02.txt:  1002  Complete    BUSCOs  (C)
flye/flye-barcode02/short_summary.specific.xanthomonadales_odb10.flye-barcode02.txt:  77    Fragmented  BUSCOs  (F)
flye/flye-barcode02/short_summary.specific.xanthomonadales_odb10.flye-barcode02.txt:  73    Missing     BUSCOs  (M)
flye/flye-barcode03/short_summary.specific.xanthomonadales_odb10.flye-barcode03.txt:  1090  Complete    BUSCOs  (C)
flye/flye-barcode03/short_summary.specific.xanthomonadales_odb10.flye-barcode03.txt:  37    Fragmented  BUSCOs  (F)
flye/flye-barcode03/short_summary.specific.xanthomonadales_odb10.flye-barcode03.txt:  25    Missing     BUSCOs  (M)
flye/flye-barcode04/short_summary.specific.xanthomonadales_odb10.flye-barcode04.txt:  1103  Complete    BUSCOs  (C)
flye/flye-barcode04/short_summary.specific.xanthomonadales_odb10.flye-barcode04.txt:  29    Fragmented  BUSCOs  (F)
flye/flye-barcode04/short_summary.specific.xanthomonadales_odb10.flye-barcode04.txt:  20    Missing     BUSCOs  (M)
flye/flye-barcode05/short_summary.specific.xanthomonadales_odb10.flye-barcode05.txt:  1068  Complete    BUSCOs  (C)
flye/flye-barcode05/short_summary.specific.xanthomonadales_odb10.flye-barcode05.txt:  42    Fragmented  BUSCOs  (F)
flye/flye-barcode05/short_summary.specific.xanthomonadales_odb10.flye-barcode05.txt:  42    Missing     BUSCOs  (M)
flye/flye-barcode06/short_summary.specific.xanthomonadales_odb10.flye-barcode06.txt:  1088  Complete    BUSCOs  (C)
flye/flye-barcode06/short_summary.specific.xanthomonadales_odb10.flye-barcode06.txt:  36    Fragmented  BUSCOs  (F)
flye/flye-barcode06/short_summary.specific.xanthomonadales_odb10.flye-barcode06.txt:  28    Missing     BUSCOs  (M)
flye/flye-barcode07/short_summary.specific.xanthomonadales_odb10.flye-barcode07.txt:  1090  Complete    BUSCOs  (C)
flye/flye-barcode07/short_summary.specific.xanthomonadales_odb10.flye-barcode07.txt:  36    Fragmented  BUSCOs  (F)
flye/flye-barcode07/short_summary.specific.xanthomonadales_odb10.flye-barcode07.txt:  26    Missing     BUSCOs  (M)
flye/flye-barcode08/short_summary.specific.xanthomonadales_odb10.flye-barcode08.txt:  1105  Complete    BUSCOs  (C)
flye/flye-barcode08/short_summary.specific.xanthomonadales_odb10.flye-barcode08.txt:  25    Fragmented  BUSCOs  (F)
flye/flye-barcode08/short_summary.specific.xanthomonadales_odb10.flye-barcode08.txt:  22    Missing     BUSCOs  (M)
flye/flye-barcode09/short_summary.specific.xanthomonadales_odb10.flye-barcode09.txt:  1079  Complete    BUSCOs  (C)
flye/flye-barcode09/short_summary.specific.xanthomonadales_odb10.flye-barcode09.txt:  38    Fragmented  BUSCOs  (F)
flye/flye-barcode09/short_summary.specific.xanthomonadales_odb10.flye-barcode09.txt:  35    Missing     BUSCOs  (M)
flye/flye-barcode11/short_summary.specific.xanthomonadales_odb10.flye-barcode11.txt:  1092  Complete    BUSCOs  (C)
flye/flye-barcode11/short_summary.specific.xanthomonadales_odb10.flye-barcode11.txt:  28    Fragmented  BUSCOs  (F)
flye/flye-barcode11/short_summary.specific.xanthomonadales_odb10.flye-barcode11.txt:  32    Missing     BUSCOs  (M)
flye/flye-barcode12/short_summary.specific.xanthomonadales_odb10.flye-barcode12.txt:  1091  Complete    BUSCOs  (C)
flye/flye-barcode12/short_summary.specific.xanthomonadales_odb10.flye-barcode12.txt:  34    Fragmented  BUSCOs  (F)
flye/flye-barcode12/short_summary.specific.xanthomonadales_odb10.flye-barcode12.txt:  27    Missing     BUSCOs  (M)
flye/flye-barcode13/short_summary.specific.xanthomonadales_odb10.flye-barcode13.txt:  1095  Complete    BUSCOs  (C)
flye/flye-barcode13/short_summary.specific.xanthomonadales_odb10.flye-barcode13.txt:  33    Fragmented  BUSCOs  (F)
flye/flye-barcode13/short_summary.specific.xanthomonadales_odb10.flye-barcode13.txt:  24    Missing     BUSCOs  (M)
flye/flye-barcode14/short_summary.specific.xanthomonadales_odb10.flye-barcode14.txt:  1113  Complete    BUSCOs  (C)
flye/flye-barcode14/short_summary.specific.xanthomonadales_odb10.flye-barcode14.txt:  21    Fragmented  BUSCOs  (F)
flye/flye-barcode14/short_summary.specific.xanthomonadales_odb10.flye-barcode14.txt:  18    Missing     BUSCOs  (M)
flye/flye-barcode15/short_summary.specific.xanthomonadales_odb10.flye-barcode15.txt:  1109  Complete    BUSCOs  (C)
flye/flye-barcode15/short_summary.specific.xanthomonadales_odb10.flye-barcode15.txt:  25    Fragmented  BUSCOs  (F)
flye/flye-barcode15/short_summary.specific.xanthomonadales_odb10.flye-barcode15.txt:  18    Missing     BUSCOs  (M)
flye/flye-barcode16/short_summary.specific.xanthomonadales_odb10.flye-barcode16.txt:  1099  Complete    BUSCOs  (C)
flye/flye-barcode16/short_summary.specific.xanthomonadales_odb10.flye-barcode16.txt:  30    Fragmented  BUSCOs  (F)
flye/flye-barcode16/short_summary.specific.xanthomonadales_odb10.flye-barcode16.txt:  23    Missing     BUSCOs  (M)
flye/flye-barcode17/short_summary.specific.xanthomonadales_odb10.flye-barcode17.txt:  1100  Complete    BUSCOs  (C)
flye/flye-barcode17/short_summary.specific.xanthomonadales_odb10.flye-barcode17.txt:  28    Fragmented  BUSCOs  (F)
flye/flye-barcode17/short_summary.specific.xanthomonadales_odb10.flye-barcode17.txt:  24    Missing     BUSCOs  (M)
flye/flye-barcode18/short_summary.specific.xanthomonadales_odb10.flye-barcode18.txt:  1105  Complete    BUSCOs  (C)
flye/flye-barcode18/short_summary.specific.xanthomonadales_odb10.flye-barcode18.txt:  24    Fragmented  BUSCOs  (F)
flye/flye-barcode18/short_summary.specific.xanthomonadales_odb10.flye-barcode18.txt:  23    Missing     BUSCOs  (M)
flye/flye-barcode19/short_summary.specific.xanthomonadales_odb10.flye-barcode19.txt:  1098  Complete    BUSCOs  (C)
flye/flye-barcode19/short_summary.specific.xanthomonadales_odb10.flye-barcode19.txt:  29    Fragmented  BUSCOs  (F)
flye/flye-barcode19/short_summary.specific.xanthomonadales_odb10.flye-barcode19.txt:  25    Missing     BUSCOs  (M)
flye/flye-barcode20/short_summary.specific.xanthomonadales_odb10.flye-barcode20.txt:  1087  Complete    BUSCOs  (C)
flye/flye-barcode20/short_summary.specific.xanthomonadales_odb10.flye-barcode20.txt:  39    Fragmented  BUSCOs  (F)
flye/flye-barcode20/short_summary.specific.xanthomonadales_odb10.flye-barcode20.txt:  26    Missing     BUSCOs  (M)
flye/flye-barcode21/short_summary.specific.xanthomonadales_odb10.flye-barcode21.txt:  1098  Complete    BUSCOs  (C)
flye/flye-barcode21/short_summary.specific.xanthomonadales_odb10.flye-barcode21.txt:  28    Fragmented  BUSCOs  (F)
